timestamp,model,perspective,test_type,gt_name,size_mb,fps,ram_max_gb,vram_used_mib,vram_free_mib,gpu_util_pct
2026-05-26T07:47:23,sana-wm,1st_data,mem_test,data-29,3.69,24.00,0.04,1817,30371,0
2026-05-26T07:48:35,sana-wm,1st_data,mem_test,data-30,3.38,24.00,0.04,1850,30338,1
2026-05-26T07:49:48,sana-wm,1st_data,mem_test,data-31,2.26,24.00,0.04,1984,30204,0
2026-05-26T07:51:03,sana-wm,1st_data,mem_test,data-32,1.87,24.00,0.04,1985,30203,2
2026-05-26T07:52:17,sana-wm,1st_data,mem_test,data-33,1.72,24.00,0.04,1985,30203,0
2026-05-26T07:53:32,sana-wm,1st_data,mem_test,data-34,1.98,24.00,0.04,1762,30426,3
2026-05-26T07:54:48,sana-wm,1st_data,mem_test,data-35,2.13,24.00,0.04,1775,30413,3
2026-05-26T07:56:02,sana-wm,1st_data,mem_test,data-36,2.56,24.00,0.04,1775,30413,0
2026-05-26T07:57:14,sana-wm,1st_data,mem_test,data-37,0.70,24.00,0.04,1775,30413,2
2026-05-26T07:58:28,sana-wm,1st_data,mem_test,data-38,5.70,24.00,0.04,1838,30350,5
2026-05-26T07:59:42,sana-wm,1st_data,mem_test,data-39,4.73,24.00,0.04,1748,30440,3
2026-05-26T08:00:57,sana-wm,1st_data,mem_test,data-40,1.49,24.00,0.04,1677,30511,0
2026-05-26T08:02:11,sana-wm,1st_data,mem_test,data-41,3.28,24.00,0.04,1660,30528,0
2026-05-26T08:03:24,sana-wm,1st_data,mem_test,data-42,1.64,24.00,0.04,1771,30417,0
2026-05-26T08:04:38,sana-wm,1st_data,mem_test,data-43,3.32,24.00,0.04,1838,30350,0
